pos:21, dYdX:-0.9999497; totalDist:137.6662; dist:1.786227; theta:134.9986; fieldPos:(16.97264, 34.29906);
pos:22, dYdX:-1.499964; totalDist:139.0058; dist:1.339664; theta:146.3093; fieldPos:(17.91995, 33.3518);
pos:23, dYdX:-0.666627; totalDist:140.1443; dist:1.138503; theta:123.6885; fieldPos:(18.55149, 32.40452);
pos:24, dYdX:-0.9999678; totalDist:141.2829; dist:1.138504; theta:134.9991; fieldPos:(19.49879, 31.77302);
pos:25, dYdX:-1.49994; totalDist:142.6225; dist:1.339676; theta:146.3089; fieldPos:(20.4461, 30.82574);
pos:26, dYdX:-0.9999487; totalDist:143.761; dist:1.13849; theta:134.9985; fieldPos:(21.07764, 29.87847);
pos:27, dYdX:-0.9999638; totalDist:145.5472; dist:1.786217; theta:134.999; fieldPos:(22.34072, 28.61545);
pos:28, dYdX:-2.499894; totalDist:147.3335; dist:1.786228; theta:158.1978; fieldPos:(23.6038, 27.35242);
pos:29, dYdX:-1.499961; totalDist:149.0339; dist:1.700417; theta:146.3092; fieldPos:(24.23534, 25.77363);
pos:30, dYdX:-1.499917; totalDist:150.1724; dist:1.138501; theta:146.3085; fieldPos:(24.86688, 24.82635);
pos:31, dYdX:-2.499884; totalDist:151.3109; dist:1.138475; theta:158.1977; fieldPos:(25.49841, 23.8791);
pos:32, dYdX:-1.74994; totalDist:153.0113; dist:1.700406; theta:150.2543; fieldPos:(26.12996, 22.30032);
pos:33, dYdX:-3.999816; totalDist:155.557; dist:2.545751; theta:165.9632; fieldPos:(27.39303, 20.09001);
pos:34, dYdX:-0.3999831; totalDist:158.1608; dist:2.603802; theta:111.8006; fieldPos:(28.02458, 17.56396);
pos:35, dYdX:-0.6666406; totalDist:159.8613; dist:1.700459; theta:123.689; fieldPos:(29.60342, 16.93245);
pos:36, dYdX:-0.7999628; totalDist:162.1383; dist:2.277021; theta:128.6585; fieldPos:(31.49804, 15.66942);
pos:37, dYdX:-0.4999781; totalDist:164.1602; dist:2.021875; theta:116.564; fieldPos:(33.07689, 14.4064);
pos:38, dYdX:-0.6666371; totalDist:165.5724; dist:1.412176; theta:123.6889; fieldPos:(34.33999, 13.77487);
pos:39, dYdX:-4.99974; totalDist:166.7109; dist:1.138502; theta:168.6895; fieldPos:(35.28729, 13.14337);
pos:40, dYdX:-2.666549; totalDist:168.3209; dist:1.610052; theta:159.4431; fieldPos:(35.60307, 11.56458);
pos:41, dYdX:-1.499941; totalDist:171.0188; dist:2.69784; theta:146.3089; fieldPos:(36.55038, 9.03853);
pos:42, dYdX:-2.499927; totalDist:172.1572; dist:1.138491; theta:158.198; fieldPos:(37.18192, 8.09126);
pos:43, dYdX:-2.999847; totalDist:173.8577; dist:1.700406; theta:161.5642; fieldPos:(37.81345, 6.512479);
pos:44, dYdX:-1.499942; totalDist:175.8547; dist:1.997032; theta:146.3089; fieldPos:(38.44499, 4.617938);
pos:45, dYdX:0; totalDist:176.9932; dist:1.138492; theta:0; fieldPos:(39.07653, 3.670667);
BREAK
